店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
うさぎ屋 udon ,050-5489-5854,,東京都,東大和市,南街2-109-11,,,
饂飩くろさわ ,050-5488-6136,,東京都,港区,六本木6-11-16,中銀六本木マンション1F,,
侍．うどん ,092-483-6300,,福岡県,福岡市,博多区博多駅前4-36-20,内山ビル1F,,
CURRY UDON PyonKichi （ピョンキチ） 静岡店,050-5489-4537,,静岡県,静岡市,葵区紺屋町4-27,森川ビル1F,,
うどん 末治 ,050-5487-0324,,兵庫県,宍粟市,山崎町山田168-8,,,
うどん 田中 ,050-5484-8320,,香川県,高松市,林町455-3,,,
饂飩屋 康平衛 ,050-5493-7987,,広島県,福山市,王子町2-15-1,,,
うどん 多度津 ,050-5489-1864,,兵庫県,神戸市,中央区筒井町3-4-9,,,
松原うどん ,050-5492-1908,,香川県,さぬき市,津田町津田103-3,,,
うどん日和 ,050-5493-2424,,福岡県,福岡市,中央区六本松4-4-12,エステートモア六本松2 1F,,
うどん宮武 ,050-5492-6421,,神奈川県,横浜市,西区みなとみらい2-2-1,ランドマークプラザドックヤードガーデンB2,,
うどんの詩 ミント神戸店,078-265-0955,,兵庫県,神戸市,中央区雲井通7-1-1,ミント神戸7F,,
灯台うどん ,050-5488-1888,,愛知県,知多郡美浜町,奥田石亀164,,,
うどん・そば 宴 ,050-5485-6310,,大阪府,枚方市,招提大谷2-16-8,,,
ナザレうどん ,050-5494-7383,,愛知県,豊橋市,仲ノ町80-1,,,
うどん 空太郎 ,050-5487-3218,,愛媛県,松山市,空港通3-2-11,,,
たっちゃん うどん ,050-5494-0437,,山梨県,南アルプス市,小笠原985-133,,,
お饂飩鍋 馳走 てん幻 ,050-5487-4564,,群馬県,前橋市,天川大島町49-1,,,
土佐屋うどん ,050-5493-0710,,大阪府,堺市,南区深阪南117,,,
麻布うどん ,050-5488-0523,,東京都,港区,西麻布3-24-23,CUBE西麻布2F,,
御うどん 光史 ,050-5494-2481,,愛知県,長久手市,前熊一ノ井1-52,,,
手打うどん 福助 ,050-5486-8671,,東京都,小平市,小川町2-1307-20,1F,,
灸まんうどん ,050-5492-0532,,香川県,善通寺市,大麻町388,,,
さん吉うどん ,050-5493-8835,,鹿児島県,曽於市,財部町下財部1556-2,,,
肉うどん×酒肴 ざくろ ‐zakuro‐,050-5487-5332,,神奈川県,逗子市,逗子5-1-12,1F,,
手打ちうどん ゆず ,0824-72-7065,,広島県,庄原市,上原町2624-1,,,
うどん処 おはな 朝霞台店,050-5487-3139,,埼玉県,朝霞市,西弁財1-10-25,1F,,
讃岐うどん 白庵 ,050-5487-3155,,大阪府,大阪市,淀川区新高6-12-7,三和マンション1F,,
焼鳥・釜飯・うどん かまどか 馬車道店,050-5487-6071,,神奈川県,横浜市,中区相生町4-67,2F,,
うどん 花いちもんめ ,050-5488-4473,,大阪府,富田林市,新家1-2-22,,,
讃岐うどん千幸 ,050-5493-3472,,北海道,上川郡東川町,東町1-1-1,,,
うどん居酒屋 中西 ,06-6581-3916,,大阪府,大阪市,西区千代崎1-26-5,,,
うどん ほうとう 天野 ,050-5494-8585,,山梨県,富士吉田市,新西原4-11-8,,,
うどん酒場 徳三郎 ,050-5487-8920,,福岡県,福岡市,博多区東比恵3-24-14,,,
手打うどん鶴・鶴 ,050-5487-1028,,愛媛県,松山市,清水町3-164-2,,,
讃岐うどん 直白 ,050-5487-1121,,東京都,千代田区,神田猿楽町1-5-3,1F,,
肉うどん 伊勢路 ,050-5493-0888,,東京都,国分寺市,本町3-4-4,栄ビル1F,,
うどん茶屋北斗 砥部店,050-5486-8637,,愛媛県,伊予郡砥部町,上原町281-1,,,
うどん茶屋北斗 三津店,050-5486-8638,,愛媛県,松山市,祓川1-3-27,,,
うどん茶屋北斗 松前店,050-5486-8632,,愛媛県,伊予郡松前町,東古泉12-2,,,
新潟うどん たねや ,050-5492-8819,,新潟県,小千谷市,城内1-8-25,小千谷市総合産業会館サンプラザ1F,,
うどん茶屋北斗 重信店,050-5486-8633,,愛媛県,東温市,樋口1421-1,,,
手打うどん寺屋 ,050-5493-3924,,北海道,札幌市,西区山の手3条6-1-10,,,
ぶっちぎりうどん ,0942-80-6450,,福岡県,久留米市,国分町1606-1,,,
こだわりの出汁 UDON STAND GOZ －五頭－ ,050-5486-8834,,東京都,武蔵野市,西久保1-6-20,,,
博多やりうどん 福岡店,050-5486-5890,,福岡県,福岡市,中央区天神2-11-2,,,
佐渡うどん 蒼囲 ,050-5484-2330,,新潟県,佐渡市,千種乙153-1,,,
手打ちうどん 初太 ,050-5488-4659,,大阪府,富田林市,甲田3-2-31,,,
博多やりうどん 別邸,050-5486-5884,,福岡県,福岡市,博多区大字下臼井767-1,福岡空港国内線旅客ターミナルビル3F,,
資さんうどん 本店 ,093-932-3010,,福岡県,北九州市,小倉南区上葛原2-18-50,,,
